Unique_ID	Experiment_ID	TF_Entrez_ID	Target_Entrez_ID	TF_Gene_Name	Target_Gene_Name	PubMed_ID	Experiment_Type	Context_Type	Cell_Type	Cell_Name	Age	Notes	Already in one of the sub-sheets?	Date	Curator	Peer Check
1	EXP_001	18508	18508	Pax6	Pax6	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
3	EXP_002	18508	270190	Pax6	Ephb1	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
4	EXP_003	18508	11924	Pax6	Neurog2	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
5	EXP_004	18508	242523	Pax6	Dmrta1	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
6	EXP_005	18508	17172	Pax6	Ascl1	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
7	EXP_006	18508	54713	Pax6	Fezf2	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
8	EXP_007	18508	12443	Pax6	Ccnd1	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
9	EXP_008	18508	13796	Pax6	Emx1	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
10	EXP_009	18508	13797	Pax6	Emx2	26138486	TF-DNA Binding	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
12	EXP_010	18508	14183	Pax6	Fgfr2	26138486	TF-DNA Binding	Primary tissue	UBERON:0000965	lens	P1		YES		WIlson	yes
14	EXP_012	18508	19130	Pax6	Prox1	26138486	TF-DNA Binding	Primary tissue	UBERON:0000965	lens	P1		YES		WIlson	yes
15	EXP_013	18508	17116	Pax6	Mab21l1	26138486	TF-DNA Binding	Primary tissue	UBERON:0000965	lens	P1		YES		WIlson	yes
16	EXP_014	18508	17132	Pax6	Maf	26138486	TF-Perturbation	Primary tissue	UBERON:0000965	lens	E9.5		YES		WIlson	yes
