# List of cell type markers from snuc-RNAseq data for brain cell types
# Each column is labeled with a cell type and contains list of marker genes obtained from snuc-RNAseq data
#
#
#
Astrocyte	Endothelial	Microglia	Oligo	Pyramidal
AASS	ABCB1	A2M	ABCA2	ACTN1
ACACB	ABCG2	ADAM28	ABCA8	ADAM11
ACSBG1	ADGRF5	ADAP2	AMER2	ADAM23
ACSS1	ANGPTL2	ADORA3	ANLN	ADGRB2
ADGRA3	APCDD1	ADRB2	APLP1	AGAP2
ADGRV1	APOLD1	AIF1	ARHGAP1	AKAP13
ADHFE1	ARHGAP29	ALOX5	ARHGAP23	ANO3
AEBP1	ATHL1	AOAH	ASPA	ARHGAP32
AGT	ATP10A	AP1B1	C10orf90	ARPP19
AHCYL1	B2M	APBB1IP	CAPN3	BAIAP2
AHCYL2	BGN	APOC2	CARNS1	BRK1
AIFM3	BSG	APOC4-APOC2	CBR1	C1orf115
ALDH1L1	C2orf68	ARAP1	CCDC152	CA11
ALDH7A1	CALCOCO2	ARHGAP22	CD22	CABP1
AMZ2	CBLL1	ARHGAP4	CD9	CADPS2
ANKDD1A	CDC34	ARHGDIB	CDH19	CAMK2A
APOE	CDKAL1	ARPC1B	CDK18	CAMKK1
AQP4	CFLAR	ARRB2	CERCAM	CAMKK2
AQP4-AS1	CLIC5	BHLHE41	CLDN11	CDC40
ARHGEF26	CMTM6	BIN2	CLDND1	CDK17
ATP13A4	COL1A2	BLNK	CLMN	CELF2
ATP1A2	COLEC12	C1QA	CMTM5	CELF2-AS2
ATP1B2	CXorf36	C1QB	CNDP1	CHN1
BAZ2B	DENND2C	C1QC	CNP	CLK4
BMPR1B	DUSP1	C3	CNTN2	CNKSR2
C1orf61	DUSP16	C9orf66	COL4A5	COG1
C2orf82	ECM2	CASP1	COL9A2	CRIP2
CABLES1	EFTUD2	CD4	COLGALT2	CRYM
CKB	EGFL7	CD53	CPM	DCAF6
CLDN10	EIF5A	CD74	CREB5	DENND3
COL5A3	ELOVL7	CD86	CRYAB	DGCR5
CST3	EMP2	CEBPB	DBNDD2	DGKI
CTSH	EPAS1	CSF1R	DNAJC7	DGKZ
DBI	ESAM	CSF2RA	DOCK5	DIRAS2
DIO2	FLT1	CSF3R	ELOVL1	DLG1
DST	FMNL3	CX3CR1	ENO4	DLGAP1-AS4
DTNA	FN1	CYBA	ENPP2	DNAH6
ECHDC2	FZD6	CYBB	ERBB2IP	DNAJC1
EMX2	GBP4	CYFIP1	ERBB3	DOPEY2
EMX2OS	GID8	DOCK2	ERMN	DPY19L2P1
ETNPPL	GIMAP7	DOCK8	EVI2A	DYX1C1
EZR	GPATCH4	ENTPD1	FA2H	ENC1
F3	GPCPD1	FCGRT	FAM107B	ENPP7P10
FAM107A	GPR85	FGD2	FGFR2	ENPP7P4
FAM184A	HEG1	FYB	FOLH1	ERC2
FAM189A2	HERPUD1	GIMAP4	FRMD4B	ETS2
FERMT2	HSPA1A	GPR183	GATM	EXTL1
FGFR3	HYAL2	GPR34	GLDN	FADS3
FLJ46906	IFI27	HAVCR2	GLTP	FAM104A
FXYD1	IFI44	HCG22	GPM6B	FAM171A1
GDF1	IFI44L	HCK	GPR37	FGFR1OP2
GFAP	IFITM2	HLA-DMA	GPRC5B	FIP1L1
GJA1	IFITM3	HLA-DMB	GSN	FOXP1
GJB6	IGK	HLA-DPA1	GSN-AS1	FZD3
GLI3	IL4R	HLA-DRA	GTPBP1	GGCT
GLUD1	IMPDH1	HLA-DRB1	HAPLN2	GLS
GLUL	ITGA10	HLA-DRB5	HHIP	GNAQ
GPAM	ITIH5	IFI16	HSPA2	HACE1
GRAMD3	ITM2A	IFNGR1	KCNH8	HECW1
GRIN2C	KANK3	IGSF6	KIAA1598	HOMER1
GSTM2	LAMA2	IL10RA	KLK6	HOPX
GSTM5	LHFP	IL17RA	LAMP2	IPCEF1
HEPACAM	LMO2	IL18	LDB3	IQCJ-SCHIP1
HEPH	LOC105375227	INPP5D	LHPP	KALRN
HEPN1	MBD6	IRF8	LINC00844	KATNAL1
HIF3A	MFHAS1	ITGAM	LOC100133286	KCNH3
ID3	MFSD2A	ITGAX	LOC100506725	KCNIP4-IT1
ID4	MGAT1	ITGB2	LOC101927459	KCNMB4
IL17RB	MINPP1	KRCC1	LOC101929249	KCNV1
INPPL1	MLLT6	LAIR1	LOC105369782	KCTD1
ITGA7	MYL12A	LAPTM5	LPAR1	KDM5A
ITPKB	MYO15B	LILRB1	LRP2	KHDRBS3
KLKB1	NEAT1	LILRB4	MAG	KIAA1045
LAMA1	NET1	LINC01268	MAL	KIAA1211L
LCAT	NFKBIA	LOC105369388	MAP6D1	KLHL2
LCN12	NLRX1	LOC105372270	MAP7	LDB2
LINC00982	NR1H3	LOC105376426	MARCKSL1	LGI4
LOC100289473	NUDT17	LPAR6	MBP	LIMD2
LOC100507131	PARP14	LST1	MOBP	LINC00936
LOC100533711	PARP9	LTC4S	MOG	LINGO1
LOC101930275	PCGF2	LY75-CD302	MYRF	LMO4
LOC105370916	PECAM1	LY86	NDRG1	LMO7
LOC105371284	PELO	MAF	NPC1	LNX1
LOC105372061	PFN4	MED12L	NT5DC1	LOC100506674
LOC105375498	PGS1	MILR1	OPALIN	LOC102724363
LOC105376074	PIAS3	MKNK1	PAQR8	LOC105369391
LOC105376244	PLEKHH3	MS4A7	PDE8A	LOC105369862
LOC105376917	PLSCR4	NCKAP1L	PHLDB1	LOC105371967
LOC105379291	PODXL	OLR1	PIGH	LOC105374898
LOC645321	RBMS2	P2RY12	PIP4K2A	LOC105375785
LPAR4	RCL1	P2RY13	PLA2G16	LOC105376404
LRIG1	RPL23AP32	PALD1	PLEKHG3	LRRIQ1
